gen_count, change_count, dist, prec, iterations, end_fitness
5, 2, 0.1, 999.9999, 555572, 999.999910248675
5, 3, 0.1, 700, 60, 730.3622003661507
5, 3, 0.1, 700, 88, 717.8782795364274
5, 3, 0.1, 700, 34, 702.7742863000428
5, 3, 0.1, 700, 79, 703.937539805563
5, 3, 0.1, 700, 90, 731.1730110510389
5, 3, 0.1, 800, 92, 823.0191564931838
5, 3, 0.1, 800, 67, 827.998588177687
5, 3, 0.1, 800, 72, 821.3469523039411
5, 3, 0.1, 800, 121, 805.4336256351141
5, 3, 0.1, 800, 32, 834.8932590465566
5, 3, 0.1, 999, 197, 999.0040791620289
5, 3, 0.1, 999, 141, 999.2413174407627
5, 3, 0.1, 999, 132, 999.565004111338
5, 3, 0.1, 999, 245, 999.4538042284885
5, 3, 0.1, 999, 218, 999.0016002427343
5, 3, 0.1, 999.9, 1091, 999.9314255985885
5, 3, 0.1, 999.9, 3852, 999.9272060403299
5, 3, 0.1, 999.9, 5839, 999.9107751334948
5, 3, 0.1, 999.9, 5184, 999.9139213943105
5, 3, 0.1, 999.9, 2756, 999.9260667600372
5, 3, 0.1, 999.99, 35568, 999.9953328271315
5, 3, 0.1, 999.99, 44149, 999.9943206886536
5, 3, 0.1, 999.99, 29273, 999.9941495245067
5, 3, 0.1, 999.99, 74600, 999.9924768693783
5, 3, 0.1, 999.99, 96445, 999.9920287698397
5, 3, 0.1, 999.999, 716709, 999.9992363651778
5, 3, 0.1, 999.999, 3269546, 999.9991663676263
5, 3, 0.1, 999.999, 1851949, 999.9994556226875
5, 3, 0.1, 999.999, 1027496, 999.999596780482
5, 3, 0.1, 999.999, 2150151, 999.9990750991492
5, 3, 0.1, 999.9999, 10000000, 999.9998128674151
5, 3, 0.1, 999.9999, 10000000, 999.9997102709615
5, 3, 0.1, 999.9999, 10000000, 999.9998578100216
5, 3, 0.1, 999.9999, 10000000, 999.9997460559827
5, 3, 0.1, 999.9999, 10000000, 999.9997208903038
